"site","freq","mod","freqBin","amp"
"Florida","6Hz","box",23.5714285714286,0.618204333333333
"Florida","6Hz","box",24,1.36589433333333
"Florida","6Hz","box",24.4285714285714,0.5122748
"Florida","6Hz","box",24.8571428571429,0.356828333333333
"Florida","6Hz","box",25.2857142857143,0.361664033333333
"Florida","6Hz","box",25.7142857142857,0.4071779
"Florida","6Hz","box",26.1428571428571,0.4133001
"Florida","6Hz","box",26.5714285714286,0.352997533333333
"Florida","6Hz","box",27,0.3872613
"Florida","6Hz","box",27.4285714285714,0.3534425
"Florida","6Hz","box",27.8571428571429,0.341960133333333
"Florida","6Hz","box",28.2857142857143,0.3243529
"Florida","6Hz","box",28.7142857142857,0.386910733333333
"Florida","6Hz","box",29.1428571428571,0.408333333333333
"Florida","6Hz","box",29.5714285714286,0.373734833333333
"Florida","6Hz","box",30,0.522439
"Florida","6Hz","box",30.4285714285714,0.278640633333333
"Florida","6Hz","box",30.8571428571429,0.284124866666667
"Florida","6Hz","box",31.2857142857143,0.302610633333333
"Florida","6Hz","box",31.7142857142857,0.2775823
"Florida","6Hz","box",32.1428571428571,0.213718666666667
"Florida","6Hz","box",32.5714285714286,0.220444533333333
"Florida","6Hz","box",33,0.1783404
"Florida","6Hz","box",33.4285714285714,0.124865833333333
"Florida","6Hz","box",33.8571428571429,0.1389071
"Florida","6Hz","box",34.2857142857143,0.112830133333333
"Florida","6Hz","box",34.7142857142857,0.09825691
"Florida","6Hz","box",35.1428571428571,0.0815137666666667
"Florida","6Hz","box",35.5714285714286,0.0869235
"Florida","6Hz","box",36,0.08028356
"Florida","6Hz","box",36.4285714285714,0.0776294633333333
"Florida","6Hz","box",36.8571428571429,0.0706326333333333
"Florida","6Hz","box",37.2857142857143,0.0692328526666667
"Florida","6Hz","box",37.7142857142857,0.0703706333333333
"Florida","6Hz","box",38.1428571428571,0.0678554
"Florida","6Hz","box",38.5714285714286,0.06578541
"Florida","6Hz","box",39,0.0644390633333333
"Florida","6Hz","box",39.4285714285714,0.06425987
"Florida","6Hz","box",39.8571428571429,0.0630787566666667
"Florida","6Hz","box",40.2857142857143,0.0620841833333333
"Florida","6Hz","box",40.7142857142857,0.06114264
"Florida","6Hz","box",41.1428571428571,0.0600011033333333
"Florida","6Hz","box",41.5714285714286,0.0598478333333333
"Florida","6Hz","box",42,0.0590535866666667
"Florida","6Hz","box",42.4285714285714,0.0582235633333333
"Florida","6Hz","box",42.8571428571429,0.05748473
"Florida","6Hz","box",43.2857142857143,0.0567289333333333
"Florida","6Hz","box",43.7142857142857,0.0560782766666667
"Florida","6Hz","box",44.1428571428571,0.0555099133333333
"Florida","6Hz","box",44.5714285714286,0.0548965666666667
"Florida","6Hz","box",45,0.05425202
"Florida","6Hz","box",45.4285714285714,0.05372428
"Florida","6Hz","box",45.8571428571429,0.0532756533333333
"Florida","6Hz","box",46.2857142857143,0.05247332
"Florida","6Hz","box",46.7142857142857,0.0519676533333333
"Florida","6Hz","box",47.1428571428571,0.05143983
"Florida","6Hz","box",47.5714285714286,0.05091338
"Florida","6Hz","box",48,0.0504146666666667
"Florida","6Hz","box",48.4285714285714,0.04992307
"Florida","6Hz","box",48.8571428571429,0.04947935
"Florida","6Hz","box",49.2857142857143,0.0489884933333333
"Florida","6Hz","box",49.7142857142857,0.04853594
"Florida","6Hz","box",50.1428571428571,0.0480532733333333
"Florida","6Hz","box",50.5714285714286,0.0476172766666667
"Florida","6Hz","box",51,0.0471945533333333
"Florida","6Hz","box",51.4285714285714,0.0468214233333333
"Florida","6Hz","box",51.8571428571429,0.04640968
"Florida","6Hz","box",52.2857142857143,0.0459626966666667
"Florida","6Hz","box",52.7142857142857,0.04553967
"Florida","6Hz","box",53.1428571428571,0.0451780933333333
"Florida","6Hz","box",53.5714285714286,0.0447949033333333
"Florida","6Hz","box",54,0.0444213133333333
"Florida","6Hz","box",54.4285714285714,0.0440485833333333
"Florida","6Hz","box",54.8571428571429,0.04370847
"Florida","6Hz","box",55.2857142857143,0.0433424966666667
"Florida","6Hz","box",55.7142857142857,0.0430105066666667
"Florida","6Hz","box",56.1428571428571,0.04267557
"Florida","6Hz","box",56.5714285714286,0.0423378933333333
"Florida","6Hz","box",57,0.04200809
"Florida","6Hz","box",57.4285714285714,0.0416821666666667
"Florida","6Hz","box",57.8571428571429,0.0413570833333333
"Florida","6Hz","box",58.2857142857143,0.0410676866666667
"Florida","6Hz","box",58.7142857142857,0.0407580966666667
"Florida","6Hz","box",59.1428571428571,0.0404552766666667
"Florida","6Hz","box",59.5714285714286,0.04015635
"Florida","6Hz","box",60,0.0398667333333333
"Florida","6Hz","box",60.4285714285714,0.0395786133333333
"Florida","6Hz","box",60.8571428571429,0.0392959
"Florida","6Hz","box",61.2857142857143,0.0390186466666667
"Florida","6Hz","box",61.7142857142857,0.0387449266666667
"Florida","6Hz","box",62.1428571428571,0.0384743766666667
"Florida","6Hz","box",62.5714285714286,0.0382124266666667
"Florida","6Hz","box",63,0.03795131
"Florida","6Hz","box",63.4285714285714,0.03769444
"Florida","6Hz","box",63.8571428571429,0.0374427833333333
