"freq","mod","freqBin","amp"
"6Hz","box",33.8571428571429,0.0914326433333333
"6Hz","box",34.2857142857143,0.0812108166666667
"6Hz","box",34.7142857142857,0.0765739716666667
"6Hz","box",35.1428571428571,0.0654066233333333
"6Hz","box",35.5714285714286,0.0741366333333333
"6Hz","box",36,0.09415618
"6Hz","box",36.4285714285714,0.059762845
"6Hz","box",36.8571428571429,0.0537994216666667
"6Hz","box",37.2857142857143,0.0545674196666667
"6Hz","box",37.7142857142857,0.0565480366666667
"6Hz","box",38.1428571428571,0.0546085733333333
"6Hz","box",38.5714285714286,0.0562742716666667
"6Hz","box",39,0.056848815
"6Hz","box",39.4285714285714,0.0541337166666667
"6Hz","box",39.8571428571429,0.0545634283333333
"6Hz","box",40.2857142857143,0.0519677916666667
"6Hz","box",40.7142857142857,0.0527991133333333
"6Hz","box",41.1428571428571,0.048670465
"6Hz","box",41.5714285714286,0.05472797
"6Hz","box",42,0.09747556
"6Hz","box",42.4285714285714,0.0498026583333333
"6Hz","box",42.8571428571429,0.0489364866666667
"6Hz","box",43.2857142857143,0.0474510516666667
"6Hz","box",43.7142857142857,0.04661977
"6Hz","box",44.1428571428571,0.0502717766666667
"6Hz","box",44.5714285714286,0.0459313016666667
"6Hz","box",45,0.0475662883333333
"6Hz","box",45.4285714285714,0.0485891083333333
"6Hz","box",45.8571428571429,0.0503561566666667
"6Hz","box",46.2857142857143,0.050813475
"6Hz","box",46.7142857142857,0.0432963216666667
"6Hz","box",47.1428571428571,0.0456257816666667
"6Hz","box",47.5714285714286,0.0450276858333333
"6Hz","box",48,0.0641784666666667
"6Hz","box",48.4285714285714,0.0461709183333333
"6Hz","box",48.8571428571429,0.04167865
"6Hz","box",49.2857142857143,0.0482392933333333
"6Hz","box",49.7142857142857,0.0505748033333333
"6Hz","box",50.1428571428571,0.0637789866666667
"6Hz","box",50.5714285714286,0.0418108
"6Hz","box",51,0.0434314133333333
"6Hz","box",51.4285714285714,0.0391245783333333
"6Hz","box",51.8571428571429,0.0410409883333333
"6Hz","box",52.2857142857143,0.0448481566666667
"6Hz","box",52.7142857142857,0.04244349
"6Hz","box",53.1428571428571,0.0421583283333333
"6Hz","box",53.5714285714286,0.04215161
"6Hz","box",54,0.0663900716666667
"6Hz","box",54.4285714285714,0.0431532116666667
"6Hz","box",54.8571428571429,0.0371114816666667
"6Hz","box",55.2857142857143,0.0453623366666667
"6Hz","box",55.7142857142857,0.0382666166666667
"6Hz","box",56.1428571428571,0.0406319033333333
"6Hz","box",56.5714285714286,0.0355754933333333
"6Hz","box",57,0.04332677
"6Hz","box",57.4285714285714,0.0374805433333333
"6Hz","box",57.8571428571429,0.0377657916666667
"6Hz","box",58.2857142857143,0.037180655
"6Hz","box",58.7142857142857,0.0366662466666667
