"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","sine","E14",14.1187002915317,105.342066422099,3.379716
"Florida","6Hz","sine","E15",0,90.726,3.07352066666667
"Florida","6Hz","sine","E16",0,79.014,2.263288
"Florida","6Hz","sine","E17",0,114.908,2.94810066666667
"Florida","6Hz","sine","E18",-16.0697667431522,76.4350039760624,2.36281133333333
"Florida","6Hz","sine","E19",-23.6192388587642,58.8318312797812,1.88775866666667
"Florida","6Hz","sine","E20",-31.3121246459833,41.9182840077502,2.13091
"Florida","6Hz","sine","E21",-14.1187002915317,105.342066422099,3.44536133333333
"Florida","6Hz","sine","E22",-26.8737792539972,88.585411736964,3.81559666666667
"Florida","6Hz","sine","E23",-35.2634825458284,69.6677676887961,3.10110266666667
"Florida","6Hz","sine","E24",-39.5281102525102,53.3724044414846,2.10797533333333
"Florida","6Hz","sine","E25",-51.097415472918,96.8083637295249,2.96582933333333
"Florida","6Hz","sine","E26",-60.5117564493148,76.717478004812,2.54464066666667
"Florida","6Hz","sine","E27",-56.2717346283799,54.0022587112168,1.7722864
"Florida","6Hz","sine","E28",-50.0298983002845,37.5034658673461,1.63399133333333
"Florida","6Hz","sine","E29",-39.6304283909149,22.4510456227002,1.86776466666667
"Florida","6Hz","sine","E30",-28.5960902390953,7.43167134886356,3.15743333333333
"Florida","6Hz","sine","E31",-14.2590609871468,-4.99065843399723,3.039036
"Florida","6Hz","sine","E32",-86.719831310897,82.7208230943671,2.37014066666667
"Florida","6Hz","sine","E33",-86.5427774390136,55.8179182444255,2.49823933333333
"Florida","6Hz","sine","E34",-73.2735964589411,31.8739532843394,1.330226
"Florida","6Hz","sine","E35",-58.7070104036568,13.6367088941921,1.12390733333333
"Florida","6Hz","sine","E36",-45.139000940819,2.34746545549408,2.69954
"Florida","6Hz","sine","E37",-29.3939238752213,-11.4188613800894,2.92973866666667
"Florida","6Hz","sine","E38",-111.066561880691,61.2336542760814,2.39092733333333
"Florida","6Hz","sine","E39",-106.979294016482,12.6447944916077,2.229274
"Florida","6Hz","sine","E40",-82.0312253490634,0.356499272328901,1.28527533333333
"Florida","6Hz","sine","E41",-62.3658981365752,-7.23363018257962,1.836498
"Florida","6Hz","sine","E42",-48.4277069849025,-19.0176228846936,2.76139133333333
"Florida","6Hz","sine","E43",-132.385776483018,49.089223063604,3.59673733333333
"Florida","6Hz","sine","E44",-127.856243406767,23.8953117140088,2.71265266666667
"Florida","6Hz","sine","E45",-102.023724252225,-26.0624191069444,2.23197
"Florida","6Hz","sine","E46",-77.0757795587277,-24.2279722926707,1.56979333333333
"Florida","6Hz","sine","E47",-61.3490707363697,-27.4299165836118,2.33344733333333
"Florida","6Hz","sine","E48",-147.073602828489,55.1905344696692,4.71297533333333
"Florida","6Hz","sine","E49",-148.427539841507,9.81951733019121,4.42043333333333
"Florida","6Hz","sine","E50",-87.6147402607277,-51.9804690729627,2.64177466666667
"Florida","6Hz","sine","E51",-64.3973497966683,-45.8325114211031,3.24550933333333
"Florida","6Hz","sine","E52",-49.3286473753904,-38.0293353099208,2.608472
"Florida","6Hz","sine","E53",-31.8703858461666,-30.6802729781934,3.55482133333333
"Florida","6Hz","sine","E54",-16.3380561246601,-24.5721384105547,3.71979333333333
"Florida","6Hz","sine","E55",1.86009153028893e-15,-15.1888,5.204144
"Florida","6Hz","sine","E56",-134.514184844694,-53.5568924748948,3.83511266666667
"Florida","6Hz","sine","E57",-107.771903337525,-61.2478444600876,2.456344
"Florida","6Hz","sine","E58",-72.0824426385969,-68.7392048197634,3.84046
