"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","square","E79",16.3380561246601,-24.5721384105547,0.406761133333333
"Florida","6Hz","square","E80",14.2590609871468,-4.99065843399723,0.209031133333333
"Florida","6Hz","square","E81",1.66253150865048e-14,-135.756,0.444218666666667
"Florida","6Hz","square","E82",15.7052501655887,-118.019611578908,0.530111333333333
"Florida","6Hz","square","E83",29.8089612459443,-93.6860097636664,0.521000666666667
"Florida","6Hz","square","E84",32.9982073155436,-70.0930032026051,0.487011
"Florida","6Hz","square","E85",33.5739711579434,-49.4397118183913,0.4372236
"Florida","6Hz","square","E86",31.8703858461666,-30.6802729781934,0.3667544
"Florida","6Hz","square","E87",29.3939238752213,-11.4188613800894,0.338989733333333
"Florida","6Hz","square","E88",34.2137515878335,-132.964697639208,0.347078133333333
"Florida","6Hz","square","E89",50.7971288111611,-109.433046236237,0.377954666666667
"Florida","6Hz","square","E90",53.2724548220446,-83.4923179534095,0.4311716
"Florida","6Hz","square","E91",49.0164711950736,-60.6384229311954,0.529109333333333
"Florida","6Hz","square","E92",49.3286473753904,-38.0293353099208,0.424940666666667
"Florida","6Hz","square","E93",48.4277069849025,-19.0176228846936,0.3107572
"Florida","6Hz","square","E94",70.8544927411257,-119.808404222733,0.35463
"Florida","6Hz","square","E95",82.7166311762146,-89.8591836311575,0.325024733333333
"Florida","6Hz","square","E96",72.0824426385969,-68.7392048197634,0.4835058
"Florida","6Hz","square","E97",64.3973497966683,-45.8325114211031,0.4606472
"Florida","6Hz","square","E98",61.3490707363697,-27.4299165836118,0.337781266666667
"Florida","6Hz","square","E99",111.844618176326,-90.215004411638,0.351661533333333
"Florida","6Hz","square","E100",107.771903337525,-61.2478444600876,0.2870508
"Florida","6Hz","square","E101",87.6147402607277,-51.9804690729627,0.341354133333333
"Florida","6Hz","square","E102",77.0757795587277,-24.2279722926707,0.2744842
"Florida","6Hz","square","E103",62.3658981365752,-7.23363018257962,0.264760133333333
"Florida","6Hz","square","E104",45.139000940819,2.34746545549408,0.3377658
"Florida","6Hz","square","E105",28.5960902390953,7.43167134886356,0.268088066666667
"Florida","6Hz","square","E106",9.06629877496366,11.5485593631021,0.274382333333333
"Florida","6Hz","square","E107",134.514184844694,-53.5568924748948,0.280161333333333
"Florida","6Hz","square","E108",102.023724252225,-26.0624191069444,0.302807466666667
"Florida","6Hz","square","E109",82.0312253490634,0.356499272328901,0.3066264
"Florida","6Hz","square","E110",58.7070104036568,13.6367088941921,0.2097028
"Florida","6Hz","square","E111",39.6304283909149,22.4510456227002,0.2291162
"Florida","6Hz","square","E112",18.7176485153145,25.0067456910559,0.246614
"Florida","6Hz","square","E113",148.427539841507,9.81951733019121,0.306755466666667
"Florida","6Hz","square","E114",127.856243406767,23.8953117140088,0.211249733333333
"Florida","6Hz","square","E115",106.979294016482,12.6447944916077,0.2067626
"Florida","6Hz","square","E116",73.2735964589411,31.8739532843394,0.266011066666667
"Florida","6Hz","square","E117",50.0298983002845,37.5034658673461,0.2099524
"Florida","6Hz","square","E118",31.3121246459833,41.9182840077502,0.193853266666667
"Florida","6Hz","square","E119",147.073602828489,55.1905344696692,0.290410866666667
"Florida","6Hz","square","E120",132.385776483018,49.089223063604,0.249121066666667
"Florida","6Hz","square","E121",111.066561880691,61.2336542760814,0.173134666666667
"Florida","6Hz","square","E122",86.5427774390136,55.8179182444255,0.199169666666667
"Florida","6Hz","square","E123",56.2717346283799,54.0022587112168,0.212933666666667
"Florida","6Hz","square","E124",39.5281102525102,53.3724044414846,0.231342533333333
"Florida","6Hz","square","E125",107.29091960617,79.3302648808283,0.219036066666667
"Florida","6Hz","square","E126",71.1683422201787,126.406610434864,0.235048933333333
"Florida","6Hz","square","E127",-71.1683422201787,126.406610434864,0.249258733333333
"Florida","6Hz","square","E128",-107.29091960617,79.3302648808283,0.2399352
"Florida","6Hz","square","Cz",0,0,0.316752666666667
"Florida","6Hz","sine","E1",86.719831310897,82.7208230943671,0.1500424
"Florida","6Hz","sine","E2",60.5117564493148,76.717478004812,0.1447682
"Florida","6Hz","sine","E3",35.2634825458284,69.6677676887961,0.191775066666667
"Florida","6Hz","sine","E4",23.6192388587642,58.8318312797812,0.156201933333333
"Florida","6Hz","sine","E5",11.4069836172611,43.8485528695707,0.1523192
"Florida","6Hz","sine","E6",0,28.614,0.202758
"Florida","6Hz","sine","E7",-9.06629877496366,11.5485593631021,0.219254066666667
"Florida","6Hz","sine","E8",51.097415472918,96.8083637295249,0.173251533333333
"Florida","6Hz","sine","E9",26.8737792539972,88.585411736964,0.174166066666667
"Florida","6Hz","sine","E10",16.0697667431522,76.4350039760624,0.165003133333333
"Florida","6Hz","sine","E11",0,64.048,0.164075933333333
"Florida","6Hz","sine","E12",-11.4069836172611,43.8485528695707,0.2030036
"Florida","6Hz","sine","E13",-18.7176485153145,25.0067456910559,0.177747133333333
"Florida","6Hz","sine","E14",14.1187002915317,105.342066422099,0.218178133333333
"Florida","6Hz","sine","E15",0,90.726,0.176558866666667
"Florida","6Hz","sine","E16",0,79.014,0.126409733333333
"Florida","6Hz","sine","E17",0,114.908,0.231231266666667
"Florida","6Hz","sine","E18",-16.0697667431522,76.4350039760624,0.166946933333333
