"lab","freq","mod","electrode","x","y","amplitude","amplitudeSNR"
"Florida","6Hz","sine","E10",16.0697667431522,76.4350039760624,13.4024133333333,4.64314974830523
"Florida","6Hz","sine","E11",0,64.048,12.0743466666667,4.60029187084607
"Florida","6Hz","sine","E12",-11.4069836172611,43.8485528695707,10.75852,4.5839622285865
"Florida","6Hz","sine","E13",-18.7176485153145,25.0067456910559,8.94950666666667,4.56849636606383
"Florida","6Hz","sine","E14",14.1187002915317,105.342066422099,15.6288066666667,4.68262151380046
"Florida","6Hz","sine","E15",0,90.726,14.9624133333333,4.58797051511503
"Florida","6Hz","sine","E16",0,79.014,13.8168866666667,4.58679041453574
"Florida","6Hz","sine","E17",0,114.908,13.49916,4.68945429867546
"Florida","6Hz","sine","E18",-16.0697667431522,76.4350039760624,12.7205933333333,4.36487923502508
"Florida","6Hz","sine","E19",-23.6192388587642,58.8318312797812,9.85406666666667,4.40333911623913
"Florida","6Hz","sine","E20",-31.3121246459833,41.9182840077502,9.32731333333333,4.26198135027316
"Florida","6Hz","sine","E21",-14.1187002915317,105.342066422099,14.64712,4.56709843581521
"Florida","6Hz","sine","E22",-26.8737792539972,88.585411736964,15.4977666666667,4.48397850607962
"Florida","6Hz","sine","E23",-35.2634825458284,69.6677676887961,12.3813333333333,4.30126567872852
"Florida","6Hz","sine","E24",-39.5281102525102,53.3724044414846,10.0814933333333,4.32657854641973
"Florida","6Hz","sine","E25",-51.097415472918,96.8083637295249,15.9329866666667,4.59327627965407
"Florida","6Hz","sine","E26",-60.5117564493148,76.717478004812,15.6834266666667,4.47828540437605
"Florida","6Hz","sine","E27",-56.2717346283799,54.0022587112168,10.2955266666667,4.35336350274892
"Florida","6Hz","sine","E28",-50.0298983002845,37.5034658673461,9.06660666666667,4.22011725007776
"Florida","6Hz","sine","E29",-39.6304283909149,22.4510456227002,8.26932666666667,4.33638609043713
"Florida","6Hz","sine","E30",-28.5960902390953,7.43167134886356,10.8056333333333,4.56952796245543
"Florida","6Hz","sine","E31",-14.2590609871468,-4.99065843399723,11.49928,4.60531980064915
"Florida","6Hz","sine","E32",-86.719831310897,82.7208230943671,11.82304,4.41936306746864
"Florida","6Hz","sine","E33",-86.5427774390136,55.8179182444255,11.6729,4.23901656617718
"Florida","6Hz","sine","E34",-73.2735964589411,31.8739532843394,8.99313333333333,4.12390488737192
"Florida","6Hz","sine","E35",-58.7070104036568,13.6367088941921,7.49662,4.20282075575636
"Florida","6Hz","sine","E36",-45.139000940819,2.34746545549408,8.18842666666667,4.51472101014098
"Florida","6Hz","sine","E37",-29.3939238752213,-11.4188613800894,11.0083,4.43708418908553
"Florida","6Hz","sine","E38",-111.066561880691,61.2336542760814,10.4520333333333,4.25746239223616
"Florida","6Hz","sine","E39",-106.979294016482,12.6447944916077,9.85943333333333,4.11352281816013
"Florida","6Hz","sine","E40",-82.0312253490634,0.356499272328901,6.79179333333333,4.01719385318692
"Florida","6Hz","sine","E41",-62.3658981365752,-7.23363018257962,7.31991333333333,4.16264785707707
"Florida","6Hz","sine","E42",-48.4277069849025,-19.0176228846936,9.60466666666667,4.25090269558612
"Florida","6Hz","sine","E43",-132.385776483018,49.089223063604,14.2081733333333,4.26076778749212
"Florida","6Hz","sine","E44",-127.856243406767,23.8953117140088,12.2481266666667,4.05294065649158
"Florida","6Hz","sine","E45",-102.023724252225,-26.0624191069444,9.7622,4.05054183392769
"Florida","6Hz","sine","E46",-77.0757795587277,-24.2279722926707,7.62592,4.30078178266055
"Florida","6Hz","sine","E47",-61.3490707363697,-27.4299165836118,7.49798,4.38183236753789
"Florida","6Hz","sine","E48",-147.073602828489,55.1905344696692,17.764,4.20127831590935
"Florida","6Hz","sine","E49",-148.427539841507,9.81951733019121,14.7100133333333,4.24365494364655
"Florida","6Hz","sine","E50",-87.6147402607277,-51.9804690729627,8.18222,4.51395193581448
"Florida","6Hz","sine","E51",-64.3973497966683,-45.8325114211031,11.5955666666667,4.28184311792577
"Florida","6Hz","sine","E52",-49.3286473753904,-38.0293353099208,8.09481333333333,4.41968384300267
"Florida","6Hz","sine","E53",-31.8703858461666,-30.6802729781934,11.6321333333333,4.56500139191914
"Florida","6Hz","sine","E54",-16.3380561246601,-24.5721384105547,9.86325333333333,4.76889317813291
"Florida","6Hz","sine","E55",1.86009153028893e-15,-15.1888,18.64106,4.45071683953853
"Florida","6Hz","sine","E56",-134.514184844694,-53.5568924748948,13.7155133333333,4.34390743777163
"Florida","6Hz","sine","E57",-107.771903337525,-61.2478444600876,8.85439333333333,4.49957293811703
"Florida","6Hz","sine","E58",-72.0824426385969,-68.7392048197634,8.88456,4.74123342976993
"Florida","6Hz","sine","E59",-49.0164711950736,-60.6384229311954,9.1939,4.86106879804943
"Florida","6Hz","sine","E60",-33.5739711579434,-49.4397118183913,12.0795333333333,4.77733008398844
"Florida","6Hz","sine","E61",-17.5616376782163,-41.0535015078989,9.77969333333333,4.96801927023706
"Florida","6Hz","sine","E62",6.24863782796946e-15,-51.024,17.4688133333333,5.10623363395141
"Florida","6Hz","sine","E63",-111.844618176326,-90.215004411638,12.82384,4.45565408008775
"Florida","6Hz","sine","E64",-82.7166311762146,-89.8591836311575,9.31984666666667,4.24556013604495
"Florida","6Hz","sine","E65",-53.2724548220446,-83.4923179534095,10.3735266666667,4.87384822245632
"Florida","6Hz","sine","E66",-32.9982073155436,-70.0930032026051,11.49668,4.78863493420852
"Florida","6Hz","sine","E67",-14.9843695227892,-59.7435310808167,10.7884666666667,5.05204605359293
"Florida","6Hz","sine","E68",-70.8544927411257,-119.808404222733,12.2864533333333,4.63069228570552
