"lab","freq","mod","freqBin","amp"
"Florida","6Hz","square",48,0.00498595566666667
"Florida","6Hz","square",48.4285714285714,0.00493121086666667
"Florida","6Hz","square",48.8571428571429,0.00488858206666667
"Florida","6Hz","square",49.2857142857143,0.0048384814
"Florida","6Hz","square",49.7142857142857,0.0047881782
"Florida","6Hz","square",50.1428571428571,0.0047373902
"Florida","6Hz","square",50.5714285714286,0.00469786266666667
"Florida","6Hz","square",51,0.00465369953333333
"Florida","6Hz","square",51.4285714285714,0.00461577045333333
"Florida","6Hz","square",51.8571428571429,0.00457122973333333
"Florida","6Hz","square",52.2857142857143,0.0045349282
"Florida","6Hz","square",52.7142857142857,0.00449358846666667
"Florida","6Hz","square",53.1428571428571,0.00445663033333333
"Florida","6Hz","square",53.5714285714286,0.00441777206666667
"Florida","6Hz","square",54,0.00438330886666667
"Florida","6Hz","square",54.4285714285714,0.00434673106666667
"Florida","6Hz","square",54.8571428571429,0.00431263653333333
"Florida","6Hz","square",55.2857142857143,0.0042769316
"Florida","6Hz","square",55.7142857142857,0.0042441172
"Florida","6Hz","square",56.1428571428571,0.004211564
"Florida","6Hz","square",56.5714285714286,0.00417863653333333
"Florida","6Hz","square",57,0.0041438874
"Florida","6Hz","square",57.4285714285714,0.00411200146666667
"Florida","6Hz","square",57.8571428571429,0.00407931713333333
"Florida","6Hz","square",58.2857142857143,0.00405021046666667
"Florida","6Hz","square",58.7142857142857,0.00401805933333333
"Florida","6Hz","square",59.1428571428571,0.00398831813333333
"Florida","6Hz","square",59.5714285714286,0.0039590722
"Florida","6Hz","square",60,0.00393052713333333
"Florida","6Hz","square",60.4285714285714,0.00390180766666667
"Florida","6Hz","square",60.8571428571429,0.003873862
"Florida","6Hz","square",61.2857142857143,0.003846242
"Florida","6Hz","square",61.7142857142857,0.003819294
"Florida","6Hz","square",62.1428571428571,0.003792968
"Florida","6Hz","square",62.5714285714286,0.00376732866666667
"Florida","6Hz","square",63,0.00374146133333333
"Florida","6Hz","square",63.4285714285714,0.00371630533333333
"Florida","6Hz","square",63.8571428571429,0.00369024133333333
"Florida","6Hz","square",64.2857142857143,0.00366561066666667
"Florida","6Hz","square",64.7142857142857,0.00364061266666667
"Florida","6Hz","square",65.1428571428571,0.003616464
"Florida","6Hz","square",65.5714285714286,0.00359124266666667
"Florida","6Hz","square",66,0.00358184933333333
"Florida","6Hz","square",66.4285714285714,0.00354478933333333
"Florida","6Hz","square",66.8571428571428,0.00352325266666667
"Florida","6Hz","square",67.2857142857143,0.003499666
"Florida","6Hz","square",67.7142857142857,0.00347800733333333
