"site","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","sine","E101",87.6147402607277,-51.9804690729627,0.269451266666667
"Florida","6Hz","sine","E102",77.0757795587277,-24.2279722926707,0.277967733333333
"Florida","6Hz","sine","E103",62.3658981365752,-7.23363018257962,0.270545333333333
"Florida","6Hz","sine","E104",45.139000940819,2.34746545549408,0.315419333333333
"Florida","6Hz","sine","E105",28.5960902390953,7.43167134886356,0.365965333333333
"Florida","6Hz","sine","E106",9.06629877496366,11.5485593631021,0.357478
"Florida","6Hz","sine","E107",134.514184844694,-53.5568924748948,0.362242
"Florida","6Hz","sine","E108",102.023724252225,-26.0624191069444,0.269885666666667
"Florida","6Hz","sine","E109",82.0312253490634,0.356499272328901,0.343962133333333
"Florida","6Hz","sine","E110",58.7070104036568,13.6367088941921,0.360235133333333
"Florida","6Hz","sine","E111",39.6304283909149,22.4510456227002,0.369188
"Florida","6Hz","sine","E112",18.7176485153145,25.0067456910559,0.391290666666667
"Florida","6Hz","sine","E113",148.427539841507,9.81951733019121,0.389643
"Florida","6Hz","sine","E114",127.856243406767,23.8953117140088,0.452424533333333
"Florida","6Hz","sine","E115",106.979294016482,12.6447944916077,0.415026666666667
"Florida","6Hz","sine","E116",73.2735964589411,31.8739532843394,0.4592816
"Florida","6Hz","sine","E117",50.0298983002845,37.5034658673461,0.434962666666667
"Florida","6Hz","sine","E118",31.3121246459833,41.9182840077502,0.454186666666667
"Florida","6Hz","sine","E119",147.073602828489,55.1905344696692,0.3540186
"Florida","6Hz","sine","E120",132.385776483018,49.089223063604,0.4353748
"Florida","6Hz","sine","E121",111.066561880691,61.2336542760814,0.490669013333333
"Florida","6Hz","sine","E122",86.5427774390136,55.8179182444255,0.504545333333333
"Florida","6Hz","sine","E123",56.2717346283799,54.0022587112168,0.511676666666667
"Florida","6Hz","sine","E124",39.5281102525102,53.3724044414846,0.509023933333333
"Florida","6Hz","sine","E125",107.29091960617,79.3302648808283,0.497177666666667
"Florida","6Hz","sine","E126",71.1683422201787,126.406610434864,0.473219866666667
"Florida","6Hz","sine","E127",-71.1683422201787,126.406610434864,0.4392588
"Florida","6Hz","sine","E128",-107.29091960617,79.3302648808283,0.4669098
