"lab","freq","mod","trial","amplitude","amplitude_smoothed","SNR","SNR_smoothed"
"Florida","6Hz","sine",1,10.0168892857143,12.0209662630703,7.51881035714286,8.01551635214785
"Florida","6Hz","sine",2,14.3372376666667,12.2509591202131,9.371771,8.03100274825175
"Florida","6Hz","sine",3,16.0466475,12.525837042291,11.9754075,8.1164044040959
"Florida","6Hz","sine",4,11.6328166666667,12.7684766526807,6.55929166666667,8.07823399284049
"Florida","6Hz","sine",5,14.6844538461538,12.8291003539794,7.36071923076923,7.94044603829504
"Florida","6Hz","sine",6,15.4281375,13.1450177615718,7.79062833333333,7.72752506177156
"Florida","6Hz","sine",7,12.5468107142857,13.5474127915418,7.68916071428571,7.87416188245088
"Florida","6Hz","sine",8,13.0405464285714,13.5591788428238,8.45822857142857,7.65353833000333
"Florida","6Hz","sine",9,12.685925,13.2328840351315,7.09893583333333,7.22396929154179
"Florida","6Hz","sine",10,10.68375,13.3110540351315,6.00314285714286,7.19517677639028
"Florida","6Hz","sine",11,13.4919807692308,13.2102118023643,5.17667961538462,7.23532437878788
"Florida","6Hz","sine",12,14.4432346153846,13.1346643373293,9.13181538461538,7.10068208275058
"Florida","6Hz","sine",13,14.4666642307692,13.4049860905761,6.94491192307692,7.17126227755578
"Florida","6Hz","sine",14,12.4574046153846,13.5312687788878,7.25014807692308,7.11353116500167
"Florida","6Hz","sine",15,12.4926866666667,13.8379364362304,6.242574,7.30773105427906
"Florida","6Hz","sine",16,13.5751892857143,14.086144011988,7.80234285714286,7.3253317036297
"Florida","6Hz","sine",17,14.5971153846154,14.236324981019,6.30956307692308,7.62478518015318
"Florida","6Hz","sine",18,15.52035,14.2003607952048,8.46554285714286,7.44888508025308
"Florida","6Hz","sine",19,14.429656,14.0514720014985,7.82318633333333,7.44750672360972
"Florida","6Hz","sine",20,16.0592692307692,14.0024129042321,9.23513461538461,7.59188293149275
"Florida","6Hz","sine",21,13.4140333333333,14.4015839215482,6.19675,7.69258204837587
"Florida","6Hz","sine",22,15.1439714285714,14.5920313990706,8.47066785714286,7.7187672781461
"Florida","6Hz","sine",23,14.0476285714286,14.8094103034995,7.19691428571429,7.95799033175915
"Florida","6Hz","sine",24,12.8288875,14.6222019118911,6.92975,7.85085951257833
"Florida","6Hz","sine",25,11.9177545454545,14.6244230447583,8.83828636363636,7.85465760814943
"Florida","6Hz","sine",26,16.8835678571429,14.695216751052,7.35026428571429,7.69779499159931
"Florida","6Hz","sine",27,15.6701115384615,14.7697214130566,8.09038038461538,7.72090317341749
"Florida","6Hz","sine",28,16.9882833333333,14.6899691403294,8.94101666666667,7.71432456952139
"Florida","6Hz","sine",29,13.4610576923077,14.9905616478219,7.28710384615385,7.81021103305785
"Florida","6Hz","sine",30,14.4540884615385,15.1391836175188,7.86496538461538,7.98930232093664
"Florida","6Hz","sine",31,16.838,15.4630803117337,7.50964583333333,7.7836542630854
"Florida","6Hz","sine",32,14.2335846153846,15.2446707338116,6.45094,7.6715017143841
"Florida","6Hz","sine",33,14.2666964285714,15.0535404640814,8.39830321428571,7.59039245863984
"Florida","6Hz","sine",34,17.3541461538462,14.8792375577453,8.25166538461538,7.38588470381891
"Florida","6Hz","sine",35,14.4637291666667,15.1925477675355,8.89975416666667,7.35501052299973
"Florida","6Hz","sine",36,15.4806181818182,15.286781771032,6.57615772727273,7.12177957894378
"Florida","6Hz","sine",37,14.4810625,15.2974366661369,6.11658625,7.17721212556383
"Florida","6Hz","sine",38,13.5676785714286,15.2866307541322,7.19817857142857,7.28130345132141
"Florida","6Hz","sine",39,15.0709513636364,15.2535568363833,6.69143136363636,7.13417906820452
"Florida","6Hz","sine",40,16.90747,15.1466281650546,6.94748785714286,7.15511333393879
"Florida","6Hz","sine",41,15.4906625,15.3924590799731,5.299425,7.15093743067539
"Florida","6Hz","sine",42,16.9552038461538,15.4791896584855,8.11940384615385,7.27564499265886
"Florida","6Hz","sine",43,14.1147195833333,15.5787662080722,7.59594458333333,7.3198869451382
"Florida","6Hz","sine",44,13.9028833333333,15.4829077665138,6.779935,7.23332265942391
