"lab","freq","mod","electrode","x","y","amplitudeSNR"
"Florida","6Hz","sine","E7",-9.06629877496366,11.5485593631021,5.57794958455515
"Florida","6Hz","sine","E8",51.097415472918,96.8083637295249,6.03222122241552
"Florida","6Hz","sine","E9",26.8737792539972,88.585411736964,6.02778854521122
"Florida","6Hz","sine","E10",16.0697667431522,76.4350039760624,5.77903445306036
"Florida","6Hz","sine","E11",0,64.048,5.58443209300375
"Florida","6Hz","sine","E12",-11.4069836172611,43.8485528695707,5.40362557180369
"Florida","6Hz","sine","E13",-18.7176485153145,25.0067456910559,5.50644799050869
"Florida","6Hz","sine","E14",14.1187002915317,105.342066422099,6.23645382494772
"Florida","6Hz","sine","E15",0,90.726,5.79395337515722
"Florida","6Hz","sine","E16",0,79.014,5.70047612684935
"Florida","6Hz","sine","E17",0,114.908,6.08722236294106
"Florida","6Hz","sine","E18",-16.0697667431522,76.4350039760624,5.34567830453502
"Florida","6Hz","sine","E19",-23.6192388587642,58.8318312797812,5.28964472384735
"Florida","6Hz","sine","E20",-31.3121246459833,41.9182840077502,5.0649370700944
"Florida","6Hz","sine","E21",-14.1187002915317,105.342066422099,5.97944260038266
"Florida","6Hz","sine","E22",-26.8737792539972,88.585411736964,5.90701934123702
"Florida","6Hz","sine","E23",-35.2634825458284,69.6677676887961,5.14848981834994
"Florida","6Hz","sine","E24",-39.5281102525102,53.3724044414846,5.20272390277206
"Florida","6Hz","sine","E25",-51.097415472918,96.8083637295249,6.15614745496091
"Florida","6Hz","sine","E26",-60.5117564493148,76.717478004812,5.74777696340174
"Florida","6Hz","sine","E27",-56.2717346283799,54.0022587112168,5.34412840292914
"Florida","6Hz","sine","E28",-50.0298983002845,37.5034658673461,4.88669416957874
"Florida","6Hz","sine","E29",-39.6304283909149,22.4510456227002,5.26244810645349
"Florida","6Hz","sine","E30",-28.5960902390953,7.43167134886356,5.45850732739061
"Florida","6Hz","sine","E31",-14.2590609871468,-4.99065843399723,5.51790654224833
"Florida","6Hz","sine","E32",-86.719831310897,82.7208230943671,5.5093066982215
"Florida","6Hz","sine","E33",-86.5427774390136,55.8179182444255,5.08119606413823
"Florida","6Hz","sine","E34",-73.2735964589411,31.8739532843394,5.22126850445385
"Florida","6Hz","sine","E35",-58.7070104036568,13.6367088941921,5.14032142622007
"Florida","6Hz","sine","E36",-45.139000940819,2.34746545549408,5.3598526881114
"Florida","6Hz","sine","E37",-29.3939238752213,-11.4188613800894,5.26533332653154
"Florida","6Hz","sine","E38",-111.066561880691,61.2336542760814,5.17291290575067
"Florida","6Hz","sine","E39",-106.979294016482,12.6447944916077,4.87809395868616
"Florida","6Hz","sine","E40",-82.0312253490634,0.356499272328901,4.83267230500241
"Florida","6Hz","sine","E41",-62.3658981365752,-7.23363018257962,5.20896517692765
"Florida","6Hz","sine","E42",-48.4277069849025,-19.0176228846936,5.13886860604834
"Florida","6Hz","sine","E43",-132.385776483018,49.089223063604,5.26319914663192
"Florida","6Hz","sine","E44",-127.856243406767,23.8953117140088,5.00933285547716
"Florida","6Hz","sine","E45",-102.023724252225,-26.0624191069444,4.90955684880462
"Florida","6Hz","sine","E46",-77.0757795587277,-24.2279722926707,5.13774748288936
"Florida","6Hz","sine","E47",-61.3490707363697,-27.4299165836118,5.2071612931348
"Florida","6Hz","sine","E48",-147.073602828489,55.1905344696692,5.11865313377657
"Florida","6Hz","sine","E49",-148.427539841507,9.81951733019121,5.12508001145502
"Florida","6Hz","sine","E50",-87.6147402607277,-51.9804690729627,5.45534748191133
"Florida","6Hz","sine","E51",-64.3973497966683,-45.8325114211031,5.33422272305223
"Florida","6Hz","sine","E52",-49.3286473753904,-38.0293353099208,5.27905663016028
"Florida","6Hz","sine","E53",-31.8703858461666,-30.6802729781934,5.43315164677711
"Florida","6Hz","sine","E54",-16.3380561246601,-24.5721384105547,5.744889389958
"Florida","6Hz","sine","E55",1.86009153028893e-15,-15.1888,5.33479663057312
"Florida","6Hz","sine","E56",-134.514184844694,-53.5568924748948,5.1693104216916
"Florida","6Hz","sine","E57",-107.771903337525,-61.2478444600876,5.42576256800382
"Florida","6Hz","sine","E58",-72.0824426385969,-68.7392048197634,5.60616636575207
"Florida","6Hz","sine","E59",-49.0164711950736,-60.6384229311954,5.8203167260588
"Florida","6Hz","sine","E60",-33.5739711579434,-49.4397118183913,5.79476462758367
"Florida","6Hz","sine","E61",-17.5616376782163,-41.0535015078989,5.96261322447321
"Florida","6Hz","sine","E62",6.24863782796946e-15,-51.024,6.29595238667378
"Florida","6Hz","sine","E63",-111.844618176326,-90.215004411638,5.50431935034134
"Florida","6Hz","sine","E64",-82.7166311762146,-89.8591836311575,5.09948823009501
"Florida","6Hz","sine","E65",-53.2724548220446,-83.4923179534095,5.82240743001592
"Florida","6Hz","sine","E66",-32.9982073155436,-70.0930032026051,5.84943449135766
"Florida","6Hz","sine","E67",-14.9843695227892,-59.7435310808167,6.11938661923722
"Florida","6Hz","sine","E68",-70.8544927411257,-119.808404222733,5.65358329567869
"Florida","6Hz","sine","E69",-50.7971288111611,-109.433046236237,5.84444941484413
"Florida","6Hz","sine","E70",-29.8089612459443,-93.6860097636664,6.45950012465527
"Florida","6Hz","sine","E71",-12.5941162529112,-75.6650426009803,6.61106244852869
"Florida","6Hz","sine","E72",8.04078595384169e-15,-65.658,6.82739234495662
"Florida","6Hz","sine","E73",-34.2137515878335,-132.964697639208,6.08865017616481
"Florida","6Hz","sine","E74",-15.7052501655887,-118.019611578908,6.80802289268251
"Florida","6Hz","sine","E75",1.18239648457677e-14,-96.55,8.38208725370854
"Florida","6Hz","sine","E76",12.5941162529112,-75.6650426009803,7.92157094785704
"Florida","6Hz","sine","E77",14.9843695227892,-59.7435310808167,7.22751176049866
"Florida","6Hz","sine","E78",17.5616376782163,-41.0535015078989,5.96903427264247
"Florida","6Hz","sine","E79",16.3380561246601,-24.5721384105547,5.45556766963487
"Florida","6Hz","sine","E80",14.2590609871468,-4.99065843399723,5.19835706834695
"Florida","6Hz","sine","E81",1.66253150865048e-14,-135.756,6.23154930340497
"Florida","6Hz","sine","E82",15.7052501655887,-118.019611578908,6.73238977889969
"Florida","6Hz","sine","E83",29.8089612459443,-93.6860097636664,7.38542939947464
"Florida","6Hz","sine","E84",32.9982073155436,-70.0930032026051,6.22055755035205
"Florida","6Hz","sine","E85",33.5739711579434,-49.4397118183913,5.87505826537057
"Florida","6Hz","sine","E86",31.8703858461666,-30.6802729781934,5.73086236063617
"Florida","6Hz","sine","E87",29.3939238752213,-11.4188613800894,5.36297589315817
"Florida","6Hz","sine","E88",34.2137515878335,-132.964697639208,5.82735842743899
"Florida","6Hz","sine","E89",50.7971288111611,-109.433046236237,5.57569966057992
"Florida","6Hz","sine","E90",53.2724548220446,-83.4923179534095,6.05296662931824
"Florida","6Hz","sine","E91",49.0164711950736,-60.6384229311954,6.29316227184271
"Florida","6Hz","sine","E92",49.3286473753904,-38.0293353099208,5.77502094111876
"Florida","6Hz","sine","E93",48.4277069849025,-19.0176228846936,5.36106787819054
"Florida","6Hz","sine","E94",70.8544927411257,-119.808404222733,5.55094330493422
"Florida","6Hz","sine","E95",82.7166311762146,-89.8591836311575,5.25350528822801
"Florida","6Hz","sine","E96",72.0824426385969,-68.7392048197634,6.25383789069936
"Florida","6Hz","sine","E97",64.3973497966683,-45.8325114211031,5.64607348038873
"Florida","6Hz","sine","E98",61.3490707363697,-27.4299165836118,5.69534801264747
"Florida","6Hz","sine","E99",111.844618176326,-90.215004411638,5.44312158594962
"Florida","6Hz","sine","E100",107.771903337525,-61.2478444600876,5.29392878894258
"Florida","6Hz","sine","E101",87.6147402607277,-51.9804690729627,5.51085512040961
"Florida","6Hz","sine","E102",77.0757795587277,-24.2279722926707,5.54643377673134
"Florida","6Hz","sine","E103",62.3658981365752,-7.23363018257962,5.26732823410075
"Florida","6Hz","sine","E104",45.139000940819,2.34746545549408,5.44668042185632
"Florida","6Hz","sine","E105",28.5960902390953,7.43167134886356,5.03461951847717
"Florida","6Hz","sine","E106",9.06629877496366,11.5485593631021,5.53823294866109
"Florida","6Hz","sine","E107",134.514184844694,-53.5568924748948,5.24060199335239
"Florida","6Hz","sine","E108",102.023724252225,-26.0624191069444,5.00729958410204
"Florida","6Hz","sine","E109",82.0312253490634,0.356499272328901,5.1724971395257
"Florida","6Hz","sine","E110",58.7070104036568,13.6367088941921,4.99529264189382
"Florida","6Hz","sine","E111",39.6304283909149,22.4510456227002,5.22791872318571
"Florida","6Hz","sine","E112",18.7176485153145,25.0067456910559,5.62312385534306
"Florida","6Hz","sine","E113",148.427539841507,9.81951733019121,5.12311821140831
"Florida","6Hz","sine","E114",127.856243406767,23.8953117140088,4.97272028641039
"Florida","6Hz","sine","E115",106.979294016482,12.6447944916077,5.1676511045016
"Florida","6Hz","sine","E116",73.2735964589411,31.8739532843394,4.90470470167219
"Florida","6Hz","sine","E117",50.0298983002845,37.5034658673461,5.35010776378304
"Florida","6Hz","sine","E118",31.3121246459833,41.9182840077502,5.2058317098994
"Florida","6Hz","sine","E119",147.073602828489,55.1905344696692,5.16930767309777
"Florida","6Hz","sine","E120",132.385776483018,49.089223063604,5.19525310683774
"Florida","6Hz","sine","E121",111.066561880691,61.2336542760814,5.15885238263804
"Florida","6Hz","sine","E122",86.5427774390136,55.8179182444255,5.18852838423497
"Florida","6Hz","sine","E123",56.2717346283799,54.0022587112168,5.08168042918528
"Florida","6Hz","sine","E124",39.5281102525102,53.3724044414846,5.32194584491868
"Florida","6Hz","sine","E125",107.29091960617,79.3302648808283,5.4753591778689
"Florida","6Hz","sine","E126",71.1683422201787,126.406610434864,5.63024226957977
"Florida","6Hz","sine","E127",-71.1683422201787,126.406610434864,5.98303034361527
"Florida","6Hz","sine","E128",-107.29091960617,79.3302648808283,5.62500577460895
"Florida","6Hz","sine","Cz",0,0,5.28590096670992
"Florida","8.57Hz","square","E1",86.719831310897,82.7208230943671,6.738662271474
"Florida","8.57Hz","square","E2",60.5117564493148,76.717478004812,6.27470007056569
"Florida","8.57Hz","square","E3",35.2634825458284,69.6677676887961,6.7119159145426
"Florida","8.57Hz","square","E4",23.6192388587642,58.8318312797812,6.65430552371216
"Florida","8.57Hz","square","E5",11.4069836172611,43.8485528695707,6.47815446685634
"Florida","8.57Hz","square","E6",0,28.614,6.81884191940011
"Florida","8.57Hz","square","E7",-9.06629877496366,11.5485593631021,7.35916804617277
"Florida","8.57Hz","square","E8",51.097415472918,96.8083637295249,6.99261654950092
"Florida","8.57Hz","square","E9",26.8737792539972,88.585411736964,6.66956679551487
"Florida","8.57Hz","square","E10",16.0697667431522,76.4350039760624,6.49210191068043
"Florida","8.57Hz","square","E11",0,64.048,6.28039614300307
"Florida","8.57Hz","square","E12",-11.4069836172611,43.8485528695707,6.56640179996545
"Florida","8.57Hz","square","E13",-18.7176485153145,25.0067456910559,6.69694027262953
"Florida","8.57Hz","square","E14",14.1187002915317,105.342066422099,7.19195271202297
"Florida","8.57Hz","square","E15",0,90.726,6.6730358950393
"Florida","8.57Hz","square","E16",0,79.014,6.20780323276998
"Florida","8.57Hz","square","E17",0,114.908,7.20644268668131
"Florida","8.57Hz","square","E18",-16.0697667431522,76.4350039760624,6.28040716863715
