"part","lab","freq","mod","pli","pliZ"
"FL_13","Florida","15Hz","sine",0.59986,0.428153318639417
"FL_14","Florida","15Hz","sine",0.3046695,-1.10716927668658
"FL_15","Florida","15Hz","sine",0.680985,0.850094558434807
"LE_01","Leipzig","15Hz","sine",0.78165,-0.539239404825438
"LE_02","Leipzig","15Hz","sine",0.899845,0.577153015162872
"LE_03","Leipzig","15Hz","sine",0.81463,-0.227731963637448
"LE_04","Leipzig","15Hz","sine",0.67961,-1.50304229441981
"LE_05","Leipzig","15Hz","sine",0.70132,-1.29798387876817
"LE_06","Leipzig","15Hz","sine",0.953865,1.08739049160239
"LE_07","Leipzig","15Hz","sine",0.87272,0.320948062396824
"LE_08","Leipzig","15Hz","sine",0.808465,-0.285962508662431
"LE_09","Leipzig","15Hz","sine",0.66943,-1.59919589512611
"LE_10","Leipzig","15Hz","sine",0.929265,0.855035032135299
"LE_11","Leipzig","15Hz","sine",0.872505,0.318917313462458
"LE_12","Leipzig","15Hz","sine",0.641205,-1.86579072616101
"LE_13","Leipzig","15Hz","sine",0.78264,-0.529888514383469
"LE_14","Leipzig","15Hz","sine",0.960845,1.1533189918902
"LE_15","Leipzig","15Hz","sine",0.90229,0.600246880951369
